study_id,reference,mentions_carbon,mentions_biomass
Risgaard-Petersen N._et_al_2000,"Risgaard-Petersen, N., & Ottosen, L. D. M. (2000). Nitrogen cycling in two temperate Zostera marina beds: seasonal variation. Marine Ecology Progress Series, 198, 93-107.",FALSE,FALSE
Rosenfeld J._et_al_1979,"Rosenfeld, J. K. (1979). Interstitial water and sediment chemistry of two cores from Florida Bay. Journal of Sedimentary Petrology 49, 989-994.",FALSE,FALSE
Rosentreter J.A._et_al_2020,"Rosentreter, J.A. and P. Williamson, Concerns and uncertainties relating to methane emissions synthesis for vegetated coastal ecosystems. Global Change Biology, 2020.",FALSE,FALSE
Saderne V._et_al_2019,"Saderne, V., et al., Characterization of the CO2 System in a Coral Reef, a Seagrass Meadow, and a Mangrove Forest in the Central Red Sea. Journal of Geophysical Research: Oceans, 2019.",FALSE,FALSE
Santos R._et_al_2004,"Santos, R., Silva, J., & Cunha, A. (2004). Relatório final do estudo de caracterização dos bancos de fanerogâmicas e macroalgas no estuário do Rio Arade. Centre of Marine Sciences, Faro, Portugal, 15.",FALSE,FALSE
Schmidt A.L._et_al_2011,"Schmidt, A.L., et al., Ecosystem structure and services in eelgrass Zostera marina and rockweed Ascophyllumnodosum habitats. Marine Ecology Progress Series, 2011.",FALSE,FALSE
Serrano O_et_al_,"Serrano O, Mateo MA, Renom P, Julià R. (Submitted). Insights in the mat of Posidonia oceanica: coring, dating and description. Geoderma",FALSE,FALSE
Serrano O._et_al_2019,"Serrano, O., et al., Australian vegetated coastal ecosystems as global hotspots for climate change mitigation. Nature Communications, 2019.",FALSE,FALSE
Slim F.J._et_al_1996,"Slim, F.J., et al., Tidal exchange of macrolitter between a mangrove forest and adjacent seagrass beds (Gazi bay, Kenya). Aquatic Ecology, 1996.",FALSE,FALSE
Stoner A._et_al_1998,"Stoner, A. W., Ray-Culp, M., and O'Connell, S. M. (1998). Settlement and recruitment of queen conch, Strombus gigas, in seagrass meadows: Associations with habitat and micropredators. Fishery Bulletin 96, 885-899.",FALSE,FALSE
Stutes J._et_al_2007,"Stutes, J., Cebrian, J., Stutes, A. L., Hunter, A., & Corcoran, A. A. (2007). Benthic metabolism across a gradient of anthropogenic impact in three shallow coastal lagoons in NW Florida. Marine Ecology Progress Series, 348, 55-70.",FALSE,FALSE
Tanner J._et_al_2021,"Tanner, J. E., McSkimming, C., Russell, B. D., & Connell, S. D. (2021). Rapid restoration of belowground structure and fauna of a seagrass habitat. Restoration Ecology, 29(1), e13289.",FALSE,FALSE
Terrados J._et_al_1999,"Terrados, J., Agawin, N. S., Duarte, C. M., Fortes, M. D., Kamp-Nielsen, L., and Borum, J. (1999). Nutrient limitation of the tropical seagrass Enhalus acoroides (L.) Royle in Cape Bolinao, NW Philippines. Aquatic Botany, 65(1), 123-139.",FALSE,FALSE
Thom R._et_al_2014,"Thom, R., S. Southard, and A. Borde, Climate-linked Mechanisms Driving Spatial and Temporal Variation in Eelgrass (Zostera marina L.) Growth and Assemblage Structure in Pacific Northwest Estuaries, USA. Journal of Coastal Research, 2014.",FALSE,FALSE
Thorhaug A._et_al_2020,"Thorhaug, A., Belaire, C., Verduin, J.J., Schwarz, A., Kiswara, W., Prathep, A., Gallagher, J.B., Huang, X.P., Berlyn, G., Yap, T.K. and Dorward, S., 2020. Longevity and sustainability of tropical and subtropical restored seagrass beds among Atlantic, Pacific, and Indian Oceans. Marine Pollution Bulletin, 160, p.111544.",FALSE,FALSE
Tokoro T._et_al_2014,"Tokoro, T., et al., Net uptake of atmospheric CO2 by coastal submerged aquatic vegetation. Global Change Biology, 2014.",FALSE,FALSE
Trevathan-Tackett S._et_al_2020,"Trevathan-Tackett, S., et al., Long-term decomposition captures key steps in microbial breakdown of seagrass litter. Science of the Total …, 2020.",FALSE,FALSE
Turk D._et_al_2015,"Turk, D., et al., Community metabolism in shallow coral reef and seagrass ecosystems, lower Florida Keys. Marine Ecology Progress Series, 2015.",FALSE,FALSE
Velimirov B._et_al_1986,"Velimirov, B., DOC dynamics in a Mediterranean seagrass system. Mar. Ecol. Prog. Ser, 1986.",FALSE,FALSE
Vermaat J._et_al_1995,"Vermaat, J. E., Agawin, N. S., Duarte, C. M., Fortes, M. D., Marba, N., & Uri, J. S. (1995). Meadow maintenance, growth and productivity of a mixed Philippine seagrass bed. Marine Ecology Progress Series, 124, 215-225.",FALSE,FALSE
Vermaat J._et_al_1996,"Vermaat, J. and F. Verhagen, Seasonal variation in the intertidal seagrass Zostera noltii Hornem.: coupling demographic and physiological patterns. Aquatic Botany, 1996.",FALSE,FALSE
Viaroli P._et_al_1996,"Viaroli, P., Bartoli, M., Bondavalli, C., Christian, R. R., Giordani, G., & Naldi, M. (1996). Macrophyte communities and their impact on benthic fluxes of oxygen, sulphide and nutrients in shallow eutrophic environments. In Coastal Lagoon Eutrophication and ANaerobic Processes (CLE AN.) (pp. 105-119). Springer, Dordrecht.",FALSE,FALSE
Volkman JK_et_al_2008,"Volkman JK, Revill AT, Holdsworth DG, Fredericks D. 2008. Organic matter sources in an enclosed coastal inlet assessed using lipid biomarkers and stable isotopes. Organic Geochemistry 39: 689-710",FALSE,FALSE
Welsh D._et_al_2000,"Welsh, D. T. (2000). Nitrogen fixation in seagrass meadows: regulation, plant–bacteria interactions and significance to primary productivity. Ecology Letters, 3(1), 58-71.",FALSE,FALSE
Winters G._et_al_2020,"Winters, G., et al., The tropical seagrass Halophila stipulacea: reviewing what we know from its native and invasive habitats, alongside identifying knowledge gaps. Frontiers in Marine …, 2020.",FALSE,FALSE
Wirachwong P._et_al_2010,"Wirachwong, P. and M. Holmer, Nutrient dynamics in 3 morphological different tropical seagrasses and their sediments. Aquatic Botany, 2010.",FALSE,FALSE
Zhang J._et_al_2021,"Zhang, J., et al., Growth of Zostera japonica in different sediment habitats of the Yellow River estuary in China. Environmental Science and Pollution Research, 2021.",FALSE,FALSE
